Race Date,CircuitLocationID_x,Round,Latitude,Longitude,temperature,wind,rain,humidity,RaceWeatherSKID
20200705,174,1,47.2197,14.7647,19.6,8.9,0.0,68.6,1
20200712,174,2,47.2197,14.7647,14.5,11.5,0.0,67.6,2
20200719,131,3,47.5822,19.2511,17.1,15.8,6.6,87.8,3
20200802,202,4,52.0711,-1.0161,16.6,18.0,0.1,60.8,4
20200809,202,5,52.0711,-1.0161,20.5,22.7,0.0,74.8,5
20200816,54,6,41.57,2.2611,24.3,14.7,2.6,77.7,6
20200830,74,7,50.4372,5.9714,13.2,23.9,12.6,87.3,7
20200906,26,8,45.6206,9.2894,20.9,14.1,13.6,74.6,8
20200913,17,9,43.9975,11.3719,23.9,15.5,0.0,55.9,9
20200927,203,10,43.4103,39.9683,25.0,11.6,0.0,61.3,10
20201011,167,11,50.3356,6.9475,5.8,14.2,0.1,82.9,11
20201025,9,12,37.2319,-8.6319,16.4,27.1,3.5,84.8,12
20201101,19,13,44.3411,11.7133,14.4,10.7,0.0,82.4,13
20201115,135,14,40.9517,29.405,10.2,10.1,0.5,90.8,14
20201129,34,15,26.0325,50.5106,24.1,28.0,0.1,67.9,15
20201206,34,16,26.0325,50.5106,22.2,30.8,0.0,70.6,16
20201213,210,17,24.4672,54.6031,21.6,19.9,0.0,57.7,17
20210328,34,1,26.0325,50.5106,21.2,43.3,0.0,52.4,18
20210418,19,2,44.3411,11.7133,9.0,15.6,0.7,68.0,19
20210502,9,3,37.2319,-8.6319,13.8,24.4,0.0,62.2,20
20210509,54,4,41.57,2.2611,17.7,19.8,2.5,71.8,21
20210523,57,5,43.7347,7.4206,18.4,20.6,0.0,67.8,22
20210606,36,6,40.3725,49.8533,21.0,31.3,0.0,72.3,23
20210620,96,7,43.2506,5.7917,23.0,29.7,1.9,68.7,24
20210704,174,8,47.2197,14.7647,17.8,9.9,3.6,75.7,25
20210718,174,9,47.2197,14.7647,18.7,15.8,2.3,81.1,26
20210718,202,10,52.0711,-1.0161,22.4,9.4,0.0,69.5,27
20210801,131,11,47.5822,19.2511,24.0,25.2,0.6,64.7,28
20210829,74,12,50.4372,5.9714,12.7,26.4,8.2,95.9,29
20210905,101,13,52.3889,4.5408,16.1,12.3,0.0,80.1,30
20210912,26,14,45.6206,9.2894,23.2,8.0,0.0,54.0,31
20210926,203,15,43.4103,39.9683,16.3,17.1,1.6,77.4,32
20211010,135,16,40.9517,29.405,16.3,24.7,0.4,87.3,33
20211024,87,17,30.1328,-97.6411,24.2,21.1,0.7,82.0,34
20211107,14,18,19.4061,-99.0925,14.5,25.4,0.0,62.2,35
20211114,24,19,-23.7011,-46.6972,16.4,30.7,0.0,81.5,36
20211121,143,20,25.49,51.4542,25.7,23.3,0.0,73.2,37
20211205,136,21,21.6319,39.1044,26.8,18.6,0.0,75.4,38
20211212,210,22,24.4672,54.6031,23.3,18.6,0.0,63.8,39
20220320,34,1,26.0325,50.5106,20.6,26.0,0.0,45.9,40
20220327,136,2,21.6319,39.1044,25.4,26.1,0.0,53.7,41
20220410,8,3,-37.8497,144.9683,20.7,27.7,1.5,66.0,42
20220424,19,4,44.3411,11.7133,12.8,21.8,2.4,75.5,43
20220508,147,5,25.9581,-80.2389,25.9,14.3,4.9,74.4,44
20220522,54,6,41.57,2.2611,25.7,23.6,0.0,34.6,45
20220529,57,7,43.7347,7.4206,21.9,16.9,3.5,70.4,46
20220612,36,8,40.3725,49.8533,24.2,21.1,0.0,61.5,47
20220619,83,9,45.5006,-73.5225,15.4,26.2,0.0,47.7,48
20220703,202,10,52.0711,-1.0161,13.9,16.6,0.9,76.7,49
20220710,174,11,47.2197,14.7647,15.5,17.3,2.9,71.5,50
20220724,96,12,43.2506,5.7917,27.2,14.7,0.0,50.6,51
20220731,131,13,47.5822,19.2511,17.6,29.5,7.9,79.8,52
20220828,74,14,50.4372,5.9714,16.3,14.5,0.5,66.9,53
20220904,101,15,52.3889,4.5408,19.5,13.0,0.2,78.2,54
20220911,26,16,45.6206,9.2894,20.0,10.4,0.0,71.3,55
20221002,146,17,1.2915,103.8638,26.4,12.8,6.4,86.0,56
20221009,206,18,34.8417,136.5389,17.8,19.9,30.1,89.8,57
20221023,87,19,30.1328,-97.6411,24.8,34.4,0.0,61.8,58
20221030,14,20,19.4061,-99.0925,16.9,22.4,1.1,67.0,59
20221113,24,21,-23.7011,-46.6972,19.8,24.2,0.0,87.8,60
20221120,210,22,24.4672,54.6031,27.5,27.3,0.0,62.6,61
20230305,34,1,26.0325,50.5106,24.8,11.5,0.0,38.0,62
20230319,136,2,21.6319,39.1044,24.9,27.9,0.0,48.3,63
20230402,8,3,-37.8497,144.9683,12.7,17.9,0.0,79.6,64
20230430,36,4,40.3725,49.8533,20.2,32.4,1.5,68.9,65
20230507,147,5,25.9581,-80.2389,24.1,25.6,2.1,75.3,66
20230528,57,7,43.7347,7.4206,21.5,11.4,6.9,71.3,67
20230604,54,8,41.57,2.2611,19.1,12.0,10.8,81.2,68
20230618,83,9,45.5006,-73.5225,15.7,22.1,1.4,78.9,69
20230702,174,10,47.2197,14.7647,18.1,11.6,0.3,72.1,70
20230709,202,11,52.0711,-1.0161,17.6,22.7,0.3,74.8,71
20230723,131,12,47.5822,19.2511,22.8,16.4,0.0,57.0,72
20230730,74,13,50.4372,5.9714,15.5,29.2,2.5,77.5,73
20230827,101,14,52.3889,4.5408,15.4,24.5,4.4,79.5,74
20230903,26,15,45.6206,9.2894,22.6,10.7,0.0,76.5,75
20230917,146,16,1.2915,103.8638,28.4,15.4,2.7,75.5,76
20230924,206,17,34.8417,136.5389,23.5,22.9,0.0,66.1,77
20231008,144,18,25.49,51.4542,32.7,26.0,0.0,60.1,78
20231022,87,19,30.1328,-97.6411,26.0,20.8,0.1,60.9,79
20231029,14,20,19.4061,-99.0925,17.1,20.5,0.3,70.0,80
20231105,24,21,-23.7011,-46.6972,17.8,21.1,0.3,81.1,81
20231118,141,22,36.11,-115.1622,14.7,23.0,0.0,61.1,82
20231126,210,23,24.4672,54.6031,24.4,21.2,0.0,59.9,83
20240302,34,1,26.0325,50.5106,16.8,14.8,0.0,54.7,84
20240309,136,2,21.6319,39.1044,23.6,28.6,0.0,60.5,85
20240324,8,3,-37.8497,144.9683,16.3,20.4,0.0,66.6,86
20240407,206,4,34.8417,136.5389,16.0,12.3,0.3,80.1,87
20240421,185,5,31.3389,121.2197,16.2,11.3,1.7,83.0,88
20240505,147,6,25.9581,-80.2389,25.3,21.1,0.3,71.7,89
20240519,20,7,44.3411,11.7133,18.7,10.4,0.2,78.4,90
20240526,57,8,43.7347,7.4206,18.0,8.5,0.0,81.8,91
20240609,83,9,45.5006,-73.5225,16.5,25.6,4.4,76.0,92
20240623,54,10,41.57,2.2611,20.0,17.5,2.8,79.5,93
20240630,174,11,47.2197,14.7647,22.7,13.8,0.0,68.8,94
20240707,202,12,52.0711,-1.0161,12.6,20.9,2.0,77.4,95
20240721,131,13,47.5822,19.2511,23.8,10.9,0.2,70.0,96
20240728,74,14,50.4372,5.9714,15.9,12.1,0.0,78.6,97
20240825,101,15,52.3889,4.5408,16.8,26.9,3.1,65.8,98
20240901,26,16,45.6206,9.2894,24.9,21.4,19.1,68.7,99
20240915,36,17,40.3725,49.8533,23.1,25.9,0.0,47.4,100
20240922,146,18,1.2915,103.8638,29.6,16.3,0.0,74.3,101
20241020,87,19,30.1328,-97.6411,23.2,15.5,0.0,55.5,102
20241027,14,20,19.4061,-99.0925,15.0,21.8,1.8,71.5,103
20241103,24,21,-23.7011,-46.6972,20.4,15.2,16.6,93.0,104
20241123,141,22,36.11,-115.1622,13.0,23.1,0.0,22.0,105
20241201,144,23,25.49,51.4542,19.7,28.6,0.0,60.0,106
20241208,210,24,24.4672,54.6031,23.6,16.3,0.0,51.5,107
